iter	Logloss
0	0.6458381548
1	0.60405049
2	0.5595113817
3	0.5247972052
4	0.4989182582
5	0.4676435672
6	0.4365765457
7	0.4082513285
8	0.3813391754
9	0.3589422102
10	0.3397529129
11	0.3242976006
12	0.3073591836
13	0.2923165642
14	0.2767856027
15	0.2629157383
16	0.2514882872
17	0.2395819903
18	0.2293391413
19	0.2181357848
20	0.208400082
21	0.2015424353
22	0.1941101781
23	0.1856593009
24	0.1787708062
25	0.1732721042
26	0.1676076723
27	0.1612358066
28	0.1562858437
29	0.1508251708
